,Pts,Gm1,Gm2,Set1,Set2,Serving,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
3368,AD-40,4,3,1,0,ND,6,f28,f+3,bn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3369,0-0,5,3,1,0,HH,"6n,",6,b19,f2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3370,0-15,5,3,1,0,HH,6,f18,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3371,15-15,5,3,1,0,HH,"6w,",6,f38,b2,b1,fw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3372,15-30,5,3,1,0,HH,6,f28,f2,b1,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3373,15-40,5,3,1,0,HH,"4n,",6+,bn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3374,30-40,5,3,1,0,HH,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3375,40-40,5,3,1,0,HH,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3376,AD-40,5,3,1,0,HH,4,s39,f2,b2,f2,f2,f2,f3,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377,40-40,5,3,1,0,HH,4,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3378,AD-40,5,3,1,0,HH,6,f27,f+2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3379,0-0,5,4,1,0,ND,"4x,",5,b27,s3,s3,f1,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380,15-0,5,4,1,0,ND,4,sd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381,30-0,5,4,1,0,ND,c6,b27,f+1,f3,o3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3382,40-0,5,4,1,0,ND,"4n,",5,b37,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,40-15,5,4,1,0,ND,"6d,",4,f29,f3,s2,s1,f1,f1,f3,b3,b2,f1,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384,0-0,0,0,0,0,ND,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3385,15-0,0,0,0,0,ND,6,r3,f1,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3386,30-0,0,0,0,0,ND,"6n,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3387,30-15,0,0,0,0,ND,4,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3388,40-15,0,0,0,0,ND,"6d,",5,b2,f2,b2,f1,f2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3389,40-30,0,0,0,0,ND,6,f2,f+3,b2,v2,r2,v2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3390,0-0,1,0,0,0,GM,5,f2,b2,f1,f1,f2,f2,f2,f1,f3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391,0-15,1,0,0,0,GM,"6d,",4,b2,f2,f2,f2,f2,b2,f1,f1,f2,b2,s2,s2,b2,b1,f3,b3,b2,b2,f2,f2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3392,15-15,1,0,0,0,GM,4,f2,f2,b3,f3,b2,b2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3393,30-15,1,0,0,0,GM,4,b2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3394,30-30,1,0,0,0,GM,4,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3395,40-30,1,0,0,0,GM,"4w,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3396,40-40,1,0,0,0,GM,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3397,AD-40,1,0,0,0,GM,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3398,0-0,1,1,0,0,ND,6,b2,f3,s2,u3,b-2,f3,b-2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399,0-15,1,1,0,0,ND,"4n,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,0-30,1,1,0,0,ND,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3401,15-30,1,1,0,0,ND,"4n,",5,f3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3402,15-40,1,1,0,0,ND,4,f2,f3,b2,f1,f2,f1,f2,f+2,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3403,30-40,1,1,0,0,ND,4,b2,f2,f2,f3,b2,f3,b2,f2,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3404,40-40,1,1,0,0,ND,4,f2,f1,f2,f3,b2,f2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3405,AD-40,1,1,0,0,ND,"4n,",5,f2,b3,b2,f2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3406,0-0,2,1,0,0,GM,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3407,15-0,2,1,0,0,GM,"4w,",5,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3408,30-0,2,1,0,0,GM,"6d,",5,f2,b2,f2,b2,b2,f2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3409,40-0,2,1,0,0,GM,"4n,",5,b2,f2,b2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3410,40-15,2,1,0,0,GM,6,b3,b3,b1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3411,0-0,2,2,0,0,ND,4,f2,f2,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3412,15-0,2,2,0,0,ND,6,f2,f3,b2,f3,b2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413,15-15,2,2,0,0,ND,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3414,30-15,2,2,0,0,ND,4,b3,b2,f2,f2,f2,f2,f2,b2,b2,b2,f2,f2,f2,f1,f1,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3415,30-30,2,2,0,0,ND,6,b2,f2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3416,40-30,2,2,0,0,ND,"5n,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3417,40-40,2,2,0,0,ND,"5n,",4,f2,f3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3418,AD-40,2,2,0,0,ND,"6n,",5,f3,b2,f1,f2,f2,b2,b2,f2,b3,b3,b2,f2,f2,f1,f1,f2,b3,s2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,40-40,2,2,0,0,ND,"6n,",5,b2,f2,f3,b2,f3,b2,f1,f1,f2,f1,f2,f3,b2,f2,f2,f2,f1,f1,f3,b2,b2,b2,b2,b2,b3,b3,b2,f1,f2,f2,b2,f2,f3*,,,,,,,,,,,,,,,,,,,
3420,40-AD,2,2,0,0,ND,6,r2,f3,b2,f2,f2,f2,b2,b2,b2,b2,f2,f2,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3421,40-40,2,2,0,0,ND,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3422,AD-40,2,2,0,0,ND,"6n,",5,f3,b3,b3,f2,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3423,0-0,3,2,0,0,GM,5,f2,f2,b3,b2,f3,b2,y2,v2,f-3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3424,0-15,3,2,0,0,GM,"6n,",4,b2,b3,b2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3425,15-15,3,2,0,0,GM,4,f2,b2,f1,f1,f2,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3426,15-30,3,2,0,0,GM,"6n,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3427,15-40,3,2,0,0,GM,6,b1,f;3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3428,0-0,4,2,0,0,ND,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,15-0,4,2,0,0,ND,4,b2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3430,15-15,4,2,0,0,ND,"6d,",4,f1,f2,b3,b2,b2,b3,b2,f1,f1,f2,b2,b2,b2,f2,b1,f1,f1,u3,b-1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3431,30-15,4,2,0,0,ND,5,b2,f1,r2,f+2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3432,30-30,4,2,0,0,ND,6,s2,f+1,l2,o2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3433,40-30,4,2,0,0,ND,6,f2,f1,f2,f2,f2,f1,f1,f2,f3,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3434,40-40,4,2,0,0,ND,"4d,",6,b3,b3,b2,f1,f2,f2,f2,f3,s2,f2,b2,f2,f2,f2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3435,AD-40,4,2,0,0,ND,6,f3,b2,s3,s3,f2,f2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3436,0-0,5,2,0,0,GM,6,b1,f2,y1,r-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3437,15-0,5,2,0,0,GM,"4n,",5,b2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3438,15-15,5,2,0,0,GM,5,f2,b2,f2,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3439,30-15,5,2,0,0,GM,5,b2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3440,40-15,5,2,0,0,GM,4,f2,b2,s2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3441,0-0,5,3,0,0,ND,"4d,",5,b2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3442,0-15,5,3,0,0,ND,4,b2,f2,b2,b2,b2,f2,b2,f1,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3443,15-15,5,3,0,0,ND,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3444,30-15,5,3,0,0,ND,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3445,40-15,5,3,0,0,ND,"4n,",5,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446,0-0,0,0,1,0,GM,"5d,",5,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447,15-0,0,0,1,0,GM,4,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448,30-0,0,0,1,0,GM,6,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3449,40-0,0,0,1,0,GM,"6d,",4,b2,b2,b1,f1,f3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3450,40-15,0,0,1,0,GM,6,b2,f3,s2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3451,0-0,0,1,1,0,ND,"4n,",5,f2,f2,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3452,15-0,0,1,1,0,ND,6,f3,b3,b2,b1,r2,f+3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3453,15-15,0,1,1,0,ND,4,f2,f2,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454,30-15,0,1,1,0,ND,6,f2,b2,f2,f1,f3,b2,f2,f2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3455,30-30,0,1,1,0,ND,"5n,",5,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456,40-30,0,1,1,0,ND,"6d,",5,f3,b2,f2,f2,f2,f2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3457,0-0,1,1,1,0,GM,6,b3,b2,b2,b2,b2,b3,b1,f2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458,0-15,1,1,1,0,GM,6,f2,f2,f2,f2,f3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3459,0-30,1,1,1,0,GM,6,b2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3460,0-40,1,1,1,0,GM,5,f2,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461,0-0,2,1,1,0,ND,"4d,",6,b2,f3,b2,f2,f2,f3,b2,f2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3462,0-15,2,1,1,0,ND,"4d,",6,f2,f2,f2,f1,r2,f+2,f2,z3,b3,z2,r-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3463,0-30,2,1,1,0,ND,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3464,15-30,2,1,1,0,ND,"6w,",6,f2,f2,f1,f1,r2,s3,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3465,30-30,2,1,1,0,ND,"6d,",6,b2,f1,f1,f2,b2,b2,b1,f2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3466,40-30,2,1,1,0,ND,"4d,",4,b2,b2,b2,b2,b3,b2,b2,y1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3467,40-40,2,1,1,0,ND,"6n,",4,f2,f3,b2,f2,f2,f2,f1,f3,s2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3468,AD-40,2,1,1,0,ND,6,f2,f2,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3469,0-0,3,1,1,0,GM,4+,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3470,15-0,3,1,1,0,GM,"4w,",6,f2,f2,f2,b2,f2,f2,f2,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3471,30-0,3,1,1,0,GM,6,b2,f3,b1,r2,b-1,f1,v3,z2,l-2,t2,v2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3472,30-15,3,1,1,0,GM,5,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3473,40-15,3,1,1,0,GM,"6n,",6,b3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3474,40-30,3,1,1,0,GM,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3475,0-0,3,2,1,0,ND,4,f2,f1,f2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3476,0-15,3,2,1,0,ND,4,b2,b2,f2,f2,f2,f2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3477,15-15,3,2,1,0,ND,4,f2,f2,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3478,30-15,3,2,1,0,ND,"4d,",5,f2,y2,u^2,b-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3479,40-15,3,2,1,0,ND,6,b3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3480,0-0,4,2,1,0,GM,"6x,",5,f2,y2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3481,0-15,4,2,1,0,GM,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3482,15-15,4,2,1,0,GM,"4d,",6,b2,f3,b3,f3,b2,b2,f2,b2,f2,f2,b2,f2,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3483,15-30,4,2,1,0,GM,"4n,",4,b2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3484,15-40,4,2,1,0,GM,6,s2,f2,b2,f1,f1,f3,b2,b2,f1,f2,f2,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3485,0-0,5,2,1,0,ND,4,f2,f2,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3486,15-0,5,2,1,0,ND,6,f2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3487,15-15,5,2,1,0,ND,4,f2,f2,f2,s3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3488,15-30,5,2,1,0,ND,"6d,",4,b3,b2,b2,b2,f2,f2,f2,f2,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3489,30-30,5,2,1,0,ND,6,b2,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3490,30-40,5,2,1,0,ND,6,f2,f+2,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3491,40-40,5,2,1,0,ND,6,s2,f-2,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3492,40-AD,5,2,1,0,ND,6,f2,b3,b2,b1,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3493,40-40,5,2,1,0,ND,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3494,AD-40,5,2,1,0,ND,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3495,0-0,0,0,0,0,ND,4,f27,b2,b2,b1,f3,b2,b2,b2,b2,b2,f3,b2,f3,b3,b3,y3,s1,l3,p1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3496,0-15,0,0,0,0,ND,4,b17,f1,f2,b+3,s2,z3,sw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3497,15-15,0,0,0,0,ND,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3498,30-15,0,0,0,0,ND,6,f28,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3499,30-30,0,0,0,0,ND,"6d,",5,f28,f3,b2,f2,f1,f1,f2,f2,b2,f1,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3500,40-30,0,0,0,0,ND,6,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3501,0-0,1,0,0,0,AR,"6d,",6,b28,f1,f2,f2,b3,b3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3502,15-0,1,0,0,0,AR,4,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3503,30-0,1,0,0,0,AR,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504,40-0,1,0,0,0,AR,6,f28,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3505,0-0,1,1,0,0,ND,6,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3506,15-0,1,1,0,0,ND,6,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3507,30-0,1,1,0,0,ND,"6n,",5,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3508,40-0,1,1,0,0,ND,4,b18,f2,b1,r1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3509,40-15,1,1,0,0,ND,"6d,",6,f38,s3,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3510,40-30,1,1,0,0,ND,"6n,",5,b29,b2,f+1,f1,vn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3511,0-0,2,1,0,0,AR,"6d,",6,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3512,15-0,2,1,0,0,AR,"6n,",4,b28,b1,f1,f1,f2,f1,f1,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3513,15-15,2,1,0,0,AR,4,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3514,30-15,2,1,0,0,AR,6,f27,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3515,30-30,2,1,0,0,AR,"4n,",6,b19,f2,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3516,30-40,2,1,0,0,AR,"4n,",4,b28,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3517,40-40,2,1,0,0,AR,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3518,AD-40,2,1,0,0,AR,"4n,",5,b38,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3519,40-40,2,1,0,0,AR,"4w,",6,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3520,AD-40,2,1,0,0,AR,"c4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3521,0-0,2,2,0,0,ND,6,b28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3522,0-15,2,2,0,0,ND,"4n,",5,b17,f3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3523,0-30,2,2,0,0,ND,"6d,",6,f29,b3,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3524,0-40,2,2,0,0,ND,4,b27,b1,b3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3525,0-0,2,3,0,0,AR,4,f1,j3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3526,15-0,2,3,0,0,AR,"6n,",5,b27,f1,rn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3527,30-0,2,3,0,0,AR,"6n,",5,b27,b2,b1,f2,b3,b1,f2,f3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3528,40-0,2,3,0,0,AR,4,b27,f3,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3529,0-0,2,4,0,0,ND,6,b27,b3,b2,f1,f1,f2,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
